objectid,globalid,Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
655,18474850-f3cd-472c-8a6b-ebc398957ec2,roadway,Laughing Man Coffee,"LM coffee & tea, llc",Laughing Man Coffee,184,Duane Street,Manhattan,10013,"184  Duane Street, Manhattan, NY",N/A,,,,28,6,168,no,yes,no,,,yes,yes,yes,06/19/2020 01:27:00 PM,40.717403,-74.010245,1,1,39,1075718,1001417502,SoHo-TriBeCa-Civic Center-Little Italy
6277,{EDFA052A-9FE1-4192-87B2-64532FE2366F},roadway,Prodigy Coffee,Harlem Roasting Company llc,Prodigy Coffee,33,Carmine Street,Manhattan,10014,"33 Carmine Street, Manhattan, NY",50072863,,,,12,6,72,no,yes,no,,,yes,yes,yes,06/29/2020 12:18:00 PM,40.730098,-74.003215,2,3,67,1083520,1005860032,West Village
7513,{1CEBC1AE-72CB-466F-8082-F2BD8369D982},roadway,Variety Coffee Roasters,Variety Cafe Inc.,Variety Cafe Inc.,1269,Lexington Ave,Manhattan,10028,"1269 Lexington Ave, Manhattan, NY",50075750,,,,16,8,128,no,yes,no,,,no,,yes,07/07/2020 10:42:00 AM,40.779092,-73.95587,8,5,14801,1088463,1015147502,Upper East Side-Carnegie Hill
5937,{D55B233D-87F9-46E7-80EB-52C40BB71D79},both,Oren's Daily Roast aka Oren's Coffee,Icon Coffee Co.,Oren's Daily Roast,985,Lexington Ave,Manhattan,10021,"985 Lexington Ave, Manhattan, NY",50089600,40,6,240,40,8,320,yes,yes,no,,,no,,yes,06/27/2020 01:05:00 AM,40.769839,-73.96262,8,4,128,1042807,1014060021,Upper East Side-Carnegie Hill
7237,{51EC2A17-BAE8-4A96-85C5-511244540F21},both,Idlewild Coffee Co.,Idlewild Coffee Co. LLC,Idlewild Coffee Co.,300,E 5th St,Manhattan,10003,"300 E 5th St, Manhattan, NY",0,12,5,60,12,8,96,yes,yes,no,,,no,,yes,07/04/2020 11:48:00 AM,40.726623,-73.988632,3,2,38,1006205,1004460008,East Village
6310,{56770476-447B-44CD-828A-35AF48FCA939},both,Handcraft Coffee,77th Street coffee shop inc,Handcraft Coffee,151,E. 77,Manhattan,10075,"151 E. 77, Manhattan, NY",50057298,20,15,300,20,7,140,yes,yes,no,,,no,,yes,06/29/2020 01:30:00 PM,40.773428,-73.959329,8,4,140,1043195,1014120022,Upper East Side-Carnegie Hill
916,48b85118-457e-4d70-8bf3-8ecc35e4de36,sidewalk,Gregorys Coffee,1273 First Coffee and Bakery LLC,1273 First Coffee and Bakery LLC,1273,First Avenue,Manhattan,10065,"1273 First Avenue, Manhattan, NY",50048645,16,7,112,,,,yes,no,no,,,no,,yes,06/19/2020 02:25:00 PM,40.765616,-73.957608,8,5,118,1044760,1014430027,Lenox Hill-Roosevelt Island
9027,{099B8153-6C17-49B4-8C9A-C019D5ABBE15},sidewalk,Black Fox Coffee,Black Fox Coffee 70 Pine LLC,Black Fox Coffee,70,Pine Street,Manhattan,10005,"70 Pine Street, Manhattan, NY",50094234,20,4,80,,,,yes,no,no,,,yes,yes,yes,07/21/2020 11:15:00 AM,40.706315,-74.007895,1,1,7,1001007,1000417504,Battery Park City-Lower Manhattan
1391,b2b575ca-6636-4014-8ced-72903cffad8c,both,Kona Coffee and Company,Kona Coffee and Company Inc,Kona Coffee and Company,57,2nd ave,Manhattan,10003,"57 2nd ave, Manhattan, NY",50069763,200,10,2000,200,8,1600,yes,yes,no,,,yes,yes,yes,06/19/2020 04:21:00 PM,40.7258,-73.989725,3,2,38,1006576,1004590032,East Village
9504,{981471FC-C55C-425A-86CE-396F2F146096},roadway,Joe Coffee Waverly,JAGR LLC,JAGR LLC,141,Waverly Place,Manhattan,10014,"141  Waverly Place, Manhattan, NY",40957726,,,,8,4,32,no,yes,no,,,yes,yes,yes,07/29/2020 11:25:00 AM,40.7332,-74.000599,2,3,71,1010261,1005930003,West Village
9548,{2871D07F-7BBF-4A89-8CDB-283E23ECAA29},sidewalk,Gregorys Coffee,356 Coffee and Bakery LLC,356 Coffee and Bakery LLC,356,7th Avenue,Manhattan,10001,"356 7th Avenue, Manhattan, NY",50042803,25,15,375,,,,yes,no,no,,,no,,yes,07/30/2020 11:08:00 AM,40.748293,-73.992601,5,3,95,1014292,1007790043,Midtown-Midtown South
1707,244f1310-abc0-4c59-8913-7fadc0a05064,both,Dear Mama Coffee,Panama Hat Roasters LLC,Dear Mama Coffee,308,East 109th Street,Manhattan,10029,"308 East 109th Street, Manhattan, NY",50050972,12,6,72,20,8,160,yes,yes,yes,1296419,TW,no,,yes,06/19/2020 06:17:00 PM,40.792337,-73.940545,11,8,170,1089783,1016800148,East Harlem South
1128,5b75d28b-7fd5-4440-8d58-f8ae1d4e4599,sidewalk,Daniels Coffee and more,DKL ENTERPRISES LLC,Daniels Coffee and More,1050,3rd ave,Manhattan,10065,"1050  3rd ave, Manhattan, NY",50104383,8,3,24,,,,yes,no,no,,,no,,yes,06/19/2020 03:12:00 PM,40.76353,-73.965154,8,4,11402,1042050,1013970033,Upper East Side-Carnegie Hill
8426,{38A95F68-069B-4FED-82CE-D6B9D51FCF62},sidewalk,Gregorys Coffee,880 Third Coffee and Bakery LLC,880 Third Coffee and Bakery LLC,880,Third Avenue,Manhattan,10022,"880 Third Avenue, Manhattan, NY",50066298,20,15,300,,,,yes,no,no,,,no,,yes,07/15/2020 10:27:00 AM,40.75791,-73.969254,6,4,100,1036473,1013080033,Turtle Bay-East Midtown
5020,{7EC8C9E0-51C0-4D25-8D15-E8C446207AB5},both,REMI FLOWER COFFEE,JM FLOWER CORP,REMI FLOWER & COFFEE,906,2ND AVE,Manhattan,10017,"906 2ND AVE, Manhattan, NY",50066881,44,10,440,22,8,176,yes,yes,no,,,no,,yes,06/24/2020 04:22:00 PM,40.753804,-73.969292,6,4,90,1038916,1013410001,Turtle Bay-East Midtown
8588,{923B9831-CB06-49C1-8E7F-E92ECF308794},both,Brooklyn Bagel & Coffee Company,286 Bagel Corp.,Brooklyn Bagel & Coffee Company,286,8th Avenue,Manhattan,10001,"286 8th Avenue, Manhattan, NY",41298537,20,15,300,20,8,160,yes,yes,no,,,no,,yes,07/16/2020 12:58:00 PM,40.746207,-73.997809,4,3,91,1014168,1007740004,Hudson Yards-Chelsea-Flatiron-Union Square
6357,{D9374623-8AD7-4DF6-8EC5-F8DA1F3CF956},sidewalk,Partners Coffee,Toby's Coffee West Village LLC,Toby's Coffee West Village LLC,44,Charles Street,Manhattan,10014,"44 Charles Street, Manhattan, NY",50016203,35,15,525,,,,yes,no,no,,,no,,yes,06/29/2020 03:18:00 PM,40.735014,-74.002295,2,3,73,1010829,1006110016,West Village
6525,{AA197460-629D-4E9B-8291-D4D45B7EDD36},sidewalk,Kuro Kuma Espresso & Coffee,"Jack Of Hearts Coffee, LLC",Kuro Kuma Espresso & Coffee,121,La Salle Street,Manhattan,10027,"121 La Salle Street, Manhattan, NY",41672484,16,6,96,,,,yes,no,no,,,no,,yes,06/30/2020 12:23:00 PM,40.814015,-73.960236,9,7,211,1059849,1019930073,Morningside Heights
8340,{34FF3170-1916-41E6-85AF-01500F618F27},sidewalk,Starbucks Coffee Company,Starbucks Coffee Company,Starbucks Coffee Company,684,6th ave,Manhattan,10010,"684  6th ave , Manhattan, NY",40560440,12,16,192,,,,yes,no,no,,,no,,yes,07/14/2020 02:29:00 PM,40.741925,-73.993504,5,3,58,1015557,1008230083,Hudson Yards-Chelsea-Flatiron-Union Square
3607,{e1a7f50f-81ad-404e-826e-fba464d566ae},both,Grace Street Coffee and Desserts,Grace 410 Inc,Grace Street Coffee and Desserts,17,West 32nd St.,Manhattan,10001,"17 West 32nd St., Manhattan, NY",50001398,30,4,120,30,8,240,yes,yes,no,,,yes,yes,yes,06/22/2020 01:42:00 PM,40.747466,-73.98621,5,4,76,1015849,1008340029,Midtown-Midtown South
1196,03a8777c-0f1d-4d2d-884a-86519b96bbb9,sidewalk,Gregorys Coffee,630 9th Coffee and Bakery LLC,630 9th Coffee and Bakery LLC,630,9th Ave,Manhattan,10036,"630 9th Ave, Manhattan, NY",50066289,15,7,105,,,,yes,no,no,,,no,,yes,06/19/2020 03:28:00 PM,40.760038,-73.991449,4,3,121,1024982,1010350001,Clinton
8999,{CFB62270-B687-412B-8AC6-69875AB8A2AD},sidewalk,Gregorys Coffee,485 Madison Coffee and Bakery LLC,485 Madison Coffee and Bakery LLC,485,Madison Ave,Manhattan,10022,"485 Madison Ave, Manhattan, NY",50059251,40,15,600,,,,yes,no,no,,,no,,yes,07/20/2020 05:26:00 PM,40.758825,-73.974877,5,4,102,1035474,1012870052,Midtown-Midtown South
9381,{5B6C8C5A-E440-4FF6-8635-E6070EB3E4EC},roadway,Joe Coffee Company,JAGR Three LLC,JAGR Three LLC,514,Columbus Avenue,Manhattan,10024,"514 Columbus Avenue, Manhattan, NY",41399812,,,,7,3,21,no,yes,no,,,no,,yes,07/27/2020 10:46:00 AM,40.785616,-73.972823,7,6,169,1032130,1012150033,Upper West Side
8466,{7CB15CE3-2164-4FE3-8B8F-6F0CEFA9E22A},sidewalk,Ralph's Coffee,Ralph Lauren Retail Inc.,Ralph Lauren Retail Inc.,888,Madison Avenue,Manhattan,10022,"888 Madison Avenue, Manhattan, NY",50086308,20,5,100,,,,yes,no,no,,,no,,yes,07/15/2020 03:24:00 PM,40.77163,-73.965557,8,4,130,1041371,1013860056,Upper East Side-Carnegie Hill
607,ff0d04ef-1d9a-47d6-8f20-8bdbdbce2792,sidewalk,le cafe coffee,le cafe coffee llc,le cafe coffee llc,145,fourth av,Manhattan,10003,"145 fourth av, Manhattan, NY",50042698,10,10,100,,,,yes,no,no,,,no,,yes,06/19/2020 01:19:00 PM,40.733916,-73.989872,3,2,42,1077569,1005590009,East Village
10903,{BDD3834D-416C-42AB-86E7-F64BF185BFB9},both,ANDREWS COFFEE SHOP,ANDREWS THIRTY-FIFTH STREET COFFEE SHOP INC.,ANDREWS COFFEE SHOP,undefined,463 7 AVENUE,Manhattan,10018,"463 7 AVENUE, Manhattan, NY",40378579,40,8,320,40,8,320,yes,yes,yes,May-40,RW,no,,yes,09/09/2020 02:19:00 PM,40.751749,-73.990057,5,3,109,1015222,1008110001,Midtown-Midtown South
11476,{26AC29E5-BACB-44EB-874D-48562A9FCA4E},sidewalk,GREGORYS COFFEE,GC COFFEE LLC,GREGORYS COFFEE,undefined,551 FASHION AVENUE,Manhattan,10018,"551 FASHION AVENUE, Manhattan, NY",50051064,30,15,450,,,,yes,no,no,,,no,,yes,11/05/2020 01:10:00 PM,40.75446,-73.988085,5,3,113,1015275,1008150001,Midtown-Midtown South
11082,{5702DAEE-E8F1-4664-8B16-D59E16FEE1A1},sidewalk,D&amp;C COFFEE,D&amp;C COFFEE INC,Daniel & Company Coffee Shop & drinks,undefined,2315 2 AVENUE,Manhattan,10035,"2315 2 AVENUE, Manhattan, NY",50100588,8,20,160,,,,yes,no,no,,,no,,yes,09/23/2020 03:11:00 PM,40.798746,-73.936512,11,8,188,1054533,1017830027,East Harlem North
11800,{BC4F79DB-FA9D-4DDB-8BBC-BB1AFE95DB9F},roadway,NEIL'S COFFEE SHOP,TIHI RESTAURANT CORP,"NICHOLAS C. KALOUDIS MD, PLLC",undefined,961 LEXINGTON AVENUE,Manhattan,10021,"961 LEXINGTON AVENUE, Manhattan, NY",41024987,,,,20,6,120,no,yes,no,,,yes,yes,yes,01/23/2021 05:11:00 PM,40.769016,-73.963219,8,4,120,1042507,1014040051,Upper East Side-Carnegie Hill
10845,{C437550B-26D5-44B5-88B6-424D96152F44},both,KING'S STREET COFFEE,KING'S STREET COFFEE INC,KING'S STREET COFFEE,undefined,121 WEST   30 STREET,Manhattan,10001,"121 WEST   30 STREET, Manhattan, NY",50070551,18,5,90,18,8,144,yes,yes,no,,,no,,yes,09/03/2020 09:36:00 PM,40.747634,-73.990443,5,3,101,1015161,1008060026,Midtown-Midtown South
6742,{210DD074-6502-461A-8B9A-5FD1CF483500},both,ludlow coffee supply,Ludlow Coffee Supply LLC,Ludlow Coffee Supply LLC,176,ludlow,Manhattan,10002,"176 ludlow, Manhattan, NY",50051274,20,15,300,20,8,160,yes,yes,yes,Oct-60,TW,no,,yes,07/01/2020 03:09:00 PM,40.721721,-73.987514,3,1,3001,1005417,1004120046,Chinatown
11360,{69077BEF-D9C6-424B-8A17-9D3119B7F72A},both,RALPH'S COFFEE,RALPH LAUREN RETAIL INC,RALPH'S COFFEE,undefined,888 MADISON AVENUE,Manhattan,10021,"888 MADISON AVENUE, Manhattan, NY",50086308,60,15,900,30,8,240,yes,yes,no,,,no,,yes,10/19/2020 05:25:00 PM,40.77163,-73.965557,8,4,130,1041371,1013860056,Upper East Side-Carnegie Hill
10642,{7609116F-E417-456A-81CB-6EC757649A85},both,GRIND NYC COFFEE SHOP,AGIOS MARKOS CORPORATION,GRIND NYC COFFEE SHOP,undefined,602 9 AVENUE,Manhattan,10036,"602 9 AVENUE, Manhattan, NY",50105604,40,12,480,40,8,320,yes,yes,no,,,no,,yes,08/26/2020 09:04:00 AM,40.759195,-73.992062,4,3,121,1024957,1010340001,Clinton
11075,{0EC53768-1F43-4FE4-80B7-8CC2132E0CF9},sidewalk,BEST BAGEL &amp; COFFEE,BEST BAGEL &amp; COFFEE LLC,BEST BAGEL &amp; COFFEE,undefined,225 WEST   35 STREET,Manhattan,10001,"225 WEST   35 STREET, Manhattan, NY",50071474,20,2,40,,,,yes,no,no,,,no,,yes,09/23/2020 12:28:00 PM,40.752051,-73.991042,5,3,109,1014427,1007850025,Midtown-Midtown South
6910,{831CDE01-60F5-4088-8238-5A2302F64520},roadway,Blank Slate Coffee + Kitchen NoMad,Nomad Kitchen LLC,Blank Slate Coffee + Kitchen,121,Madison Avenue,Manhattan,10016,"121 Madison Avenue, Manhattan, NY",50042774,,,,45,8,360,no,yes,yes,Dec-26,RW,no,,yes,07/02/2020 12:05:00 PM,40.745405,-73.984662,5,2,74,1016958,1008600022,Midtown-Midtown South
10645,{3F853C0F-ED0D-4063-84F7-062BD3122D12},both,BLUE BOTTLE COFFEE,"BLUE BOTTLE COFFEE, INC",BLUE BOTTLE COFFEE,undefined,20 BROAD STREET,Manhattan,10005,"20 BROAD STREET, Manhattan, NY",50104404,20,4,80,20,8,160,yes,yes,no,,,yes,yes,yes,08/26/2020 10:45:00 AM,40.706553,-74.011033,1,1,7,1000816,1000230050,Battery Park City-Lower Manhattan
11477,{29DA21D8-19EA-4723-8157-1D02FEC376AC},sidewalk,GREGORYS COFFEE,485 LEXINGTON COFFEE AND BAKERY LLC,GREGORYS COFFEE,undefined,485 LEXINGTON AVENUE,Manhattan,10017,"485 LEXINGTON AVENUE, Manhattan, NY",50066295,20,15,300,,,,yes,no,no,,,no,,yes,11/05/2020 01:14:00 PM,40.754244,-73.973994,6,4,92,1036206,1013010023,Turtle Bay-East Midtown
10674,{004EE3D4-72CA-453B-8800-A6AE77862F4B},roadway,SALTWATER COFFEE,SALTWATERNYC2 LLC,SALTWATER COFFEE,undefined,126 WAVERLY PLACE,Manhattan,10011,"126 WAVERLY PLACE, Manhattan, NY",50102396,,,,20,8,160,no,yes,no,,,yes,yes,yes,08/27/2020 10:43:00 AM,40.732722,-73.999664,2,1,65,1008904,1005527501,West Village
11231,{2C128B28-7510-4DD6-854F-96F85BC65E17},sidewalk,GREGORY'S COFFEE,80 broad coffee and bakery llc,GREGORY'S COFFEE,undefined,80 BROAD STREET,Manhattan,10004,"80 BROAD STREET, Manhattan, NY",50010387,30,20,600,,,,yes,no,no,,,no,,yes,10/05/2020 09:35:00 AM,40.704322,-74.011581,1,1,9,1000038,1000110021,Battery Park City-Lower Manhattan
11295,{793F0C68-BBBB-4012-87CB-D4C385F16115},roadway,THE LAZY LLAMA COFFEE BAR,THE LAZY LLAMA LLC,THE LAZY LLAMA COFFEE BAR,undefined,72 EAST    1 STREET,Manhattan,10003,"72 EAST    1 STREET, Manhattan, NY",50045070,,,,20,8,160,no,yes,no,,,no,,yes,10/09/2020 03:35:00 PM,40.723384,-73.988701,3,2,3602,1079099,1004437503,East Village
11475,{ABFE92C3-C5E0-40C3-86B4-FE11A3FD7E01},roadway,GREGORYS COFFEE,485 LEXINGTON COFFEE AND BAKERY LLC,GREGORYS COFFEE,undefined,485 LEXINGTON AVENUE,Manhattan,10017,"485 LEXINGTON AVENUE, Manhattan, NY",50066295,,,,20,8,160,no,yes,no,,,no,,yes,11/05/2020 12:56:00 PM,40.754244,-73.973994,6,4,92,1036206,1013010023,Turtle Bay-East Midtown
11020,{FF592CD8-0987-4F7F-8F30-95A9252D333C},roadway,JOE COFFEE,JAGR THREE LLC,JOE COFFEE,undefined,1045 LEXINGTON AVENUE,Manhattan,10021,"1045 LEXINGTON AVENUE, Manhattan, NY",41634340,,,,20,8,160,no,yes,no,,,no,,yes,09/17/2020 03:12:00 PM,40.772073,-73.96099,8,4,128,1043101,1014090053,Upper East Side-Carnegie Hill
12755,{AE599079-0F4C-42F0-8663-59CA17E5B8CF},sidewalk,Ademi Tea &amp; Coffee,ADEMIFY LLC,Ademi Tea & Coffee,undefined,465 BROOME STREET,Manhattan,10013,"465 BROOME STREET, Manhattan, NY",50112510,5,5,25,,,,yes,no,no,,,yes,yes,yes,08/11/2021 03:17:00 PM,40.722457,-74.001223,2,1,47,1007033,1004747508,SoHo-TriBeCa-Civic Center-Little Italy
10856,{32B94A38-F33C-44A6-8498-CA4A55B9EC84},sidewalk,LUCILLE'S COFFEE AND COCKTAILS,"LUCILLE'S COFFEE AND COCKTAILS, LLC",LUCILLE'S COFFEE AND COCKTAILS,undefined,26 MACOMBS PLACE,Manhattan,10039,"26 MACOMBS PLACE, Manhattan, NY",50088024,24,8,192,,,,yes,no,yes,Nov-88,OP,no,,yes,09/04/2020 05:02:00 PM,40.826162,-73.938794,10,9,236,1060586,1020360001,Central Harlem North-Polo Grounds
12254,{994AE6CB-119C-4B78-8B03-D60752A8F790},roadway,BIRCH COFFEE,"Grounds Control to Major Tom, LLC",Birch Coffee,undefined,134 1/2 EAST   62 STREET,Manhattan,10065,"134 1/2 EAST   62 STREET, Manhattan, NY",50012309,,,,12,8,96,no,yes,no,,,no,,yes,04/15/2021 03:43:00 PM,,,,,,,,
